id_linha,circular,letreiro_numerico,sentido,tipo_letreiro,terminal_principal,terminal_secundario
35221,False,1036,2,10,CONEXÃO VL. IÓRIO,COHAB BRASILÂNDIA
516,False,106A,1,10,ITAIM BIBI,METRÔ SANTANA
33284,False,106A,2,10,ITAIM BIBI,METRÔ SANTANA
621,False,107T,1,10,TERM. PINHEIROS,METRÔ TUCURUVI
33389,False,107T,2,10,TERM. PINHEIROS,METRÔ TUCURUVI
659,False,1156,1,10,PÇA. DO CORREIO,VL. SABRINA
33427,False,1156,2,10,PÇA. DO CORREIO,VL. SABRINA
129,False,1177,1,10,LUZ,TERM. A. E. CARVALHO
32897,False,1177,2,10,LUZ,TERM. A. E. CARVALHO
1831,False,1177,1,31,LUZ,TERM. A. E. CARVALHO
34599,False,1177,2,31,LUZ,TERM. A. E. CARVALHO
132,False,1178,1,10,PÇA. DO CORREIO,SÃO MIGUEL
32900,False,1178,2,10,PÇA. DO CORREIO,SÃO MIGUEL
1812,False,1178,1,31,PÇA. DO CORREIO,SÃO MIGUEL
34580,False,1178,2,31,PÇA. DO CORREIO,SÃO MIGUEL
2009,False,1178,1,32,PÇA. DO CORREIO,ABEL TAVARES
34777,False,1178,2,32,PÇA. DO CORREIO,ABEL TAVARES
2010,False,1178,1,33,SÃO MIGUEL,PÇA. DO CORREIO
34778,False,1178,2,33,SÃO MIGUEL,PÇA. DO CORREIO
133,False,1178,1,42,PÇA. DO CORREIO,CONJ. HAB. VL. SÍLVIA
32901,False,1178,2,42,PÇA. DO CORREIO,CONJ. HAB. VL. SÍLVIA
519,False,118C,1,10,TERM. AMARAL GURGEL,JD. PERY ALTO
33287,False,118C,2,10,TERM. AMARAL GURGEL,JD. PERY ALTO
841,False,118Y,1,10,LAPA,LAUZANE PAULISTA
33609,False,118Y,2,10,LAPA,LAUZANE PAULISTA
661,False,119C,1,10,TERM. PRINC. ISABEL,PQ. EDU CHAVES
33429,False,119C,2,10,TERM. PRINC. ISABEL,PQ. EDU CHAVES
2273,False,119L,1,10,TERM. LAPA,VL. SULINA
35041,False,119L,2,10,TERM. LAPA,VL. SULINA
842,True,1206,1,10,CORREIO,PQ. VL. MARIA
33610,True,1206,2,10,CORREIO,PQ. VL. MARIA
691,True,121G,1,10,METRÔ TUCURUVI,PQ. NOVO MUNDO
33459,True,121G,2,10,METRÔ TUCURUVI,PQ. NOVO MUNDO
843,False,128Y,1,10,LAPA,JD. PERY ALTO
33611,False,128Y,2,10,LAPA,JD. PERY ALTO
2304,False,129F,1,10,METRÔ BARRA FUNDA,CONEXÃO PETRÔNIO PORTELA
35072,False,129F,2,10,METRÔ BARRA FUNDA,CONEXÃO PETRÔNIO PORTELA
2305,False,129F,1,41,PÇA. DO CORREIO,CONEXÃO PETRÔNIO PORTELA
35073,False,129F,2,41,PÇA. DO CORREIO,CONEXÃO PETRÔNIO PORTELA
2451,False,139A,1,10,LAPA,VL. IÓRIO
35219,False,139A,2,10,LAPA,VL. IÓRIO
531,False,148L,1,10,LAPA,COHAB ANTÁRTICA
33299,False,148L,2,10,LAPA,COHAB ANTÁRTICA
534,False,148P,1,10,METRÔ BARRA FUNDA,PEDRA BRANCA
33302,False,148P,2,10,METRÔ BARRA FUNDA,PEDRA BRANCA
845,True,1701,1,10,METRÔ SANTANA,JOVA RURAL
33613,True,1701,2,10,METRÔ SANTANA,JOVA RURAL
2476,False,1701,1,21,METRÔ TUCURUVI,JOVA RURAL
35244,False,1701,2,21,METRÔ TUCURUVI,JOVA RURAL
