id_x,timestamp_coleta_x,id_onibus,letreiro_linha,latitude,longitude,timestamp_posicao,id_y,timestamp_coleta_y,id_linha,id_parada,horario_previsao
367773,2025-08-15 09:01:02.828951,48049,407G-10,-23.6022325,-46.438126499999996,2025-08-15T12:00:56Z,,,,,
367774,2025-08-15 09:01:02.828951,48121,407G-10,-23.565915,-46.5070785,2025-08-15T12:00:31Z,,,,,
367775,2025-08-15 09:01:02.828951,48247,407G-10,-23.538742,-46.564669499999994,2025-08-15T12:00:58Z,,,,,
367776,2025-08-15 09:01:02.828951,48146,407G-10,-23.60538575,-46.480157999999996,2025-08-15T12:00:26Z,,,,,
367777,2025-08-15 09:01:02.828951,82694,817C-10,-23.535534,-46.6976735,2025-08-15T12:00:38Z,,,,,
367778,2025-08-15 09:01:02.828951,82537,817C-10,-23.5216915,-46.7010605,2025-08-15T12:00:52Z,,,,,
367779,2025-08-15 09:01:02.828951,82742,817C-10,-23.5216915,-46.7010605,2025-08-15T12:00:20Z,,,,,
367780,2025-08-15 09:01:02.828951,82697,817C-10,-23.55030275,-46.6785855,2025-08-15T12:00:47Z,,,,,
367781,2025-08-15 09:01:02.828951,72925,6821-10,-23.686469000000002,-46.780176,2025-08-15T12:00:36Z,,,,,
367782,2025-08-15 09:01:02.828951,72948,6821-10,-23.67878,-46.7747745,2025-08-15T12:00:19Z,,,,,
367783,2025-08-15 09:01:02.828951,52826,5103-10,-23.612686375000003,-46.664685375000005,2025-08-15T12:00:32Z,,,,,
367784,2025-08-15 09:01:02.828951,45265,2732-10,-23.5402155,-46.483134,2025-08-15T12:00:37Z,,,,,
367785,2025-08-15 09:01:02.828951,45073,2732-10,-23.532529500000003,-46.461633000000006,2025-08-15T12:00:25Z,,,,,
367786,2025-08-15 09:01:02.828951,45267,2732-10,-23.5402155,-46.483134,2025-08-15T12:00:24Z,,,,,
367787,2025-08-15 09:01:02.828951,63118,5178-10,-23.665713500000003,-46.657511,2025-08-15T12:00:26Z,,,,,
367788,2025-08-15 09:01:02.828951,63075,5178-10,-23.5894315,-46.6522865,2025-08-15T12:00:57Z,,,,,
367789,2025-08-15 09:01:02.828951,63072,5178-10,-23.6442995,-46.672597499999995,2025-08-15T12:00:27Z,,,,,
367790,2025-08-15 09:01:02.828951,63107,5178-10,-23.568310750000002,-46.649578000000005,2025-08-15T12:00:55Z,,,,,
