id,timestamp_analise,id_onibus,letreiro_linha,posicao_atual_lat,posicao_atual_lon,horario_posicao,proximo_ponto_previsto,horario_previsto_chegada
3191280,"2025-09-30 01:57:04.235357",31236,4313-10,-23.5930425,-46.418267125,2025-08-15T15:13:10Z,820012014.0,00:41
3191281,"2025-09-30 01:57:04.235357",31254,4313-10,-23.583263,-46.407486,2025-08-15T15:13:12Z,820012014.0,06:30
3191282,"2025-09-30 01:57:04.235357",31264,4313-10,-23.546751,-46.5271425,2025-08-15T15:13:31Z,80014580.0,08:19
3191283,"2025-09-30 01:57:04.235357",31590,4313-10,-23.5411695,-46.5353725,2025-08-15T15:13:16Z,80014580.0,00:00
3191284,"2025-09-30 01:57:04.235357",31253,4313-10,-23.552831375,-46.61282425,2025-08-15T15:13:39Z,820012014.0,09:47
3191285,"2025-09-30 01:57:04.235357",31256,4313-10,-23.5824,-46.408069,2025-08-15T15:13:20Z,200012487.0,21:47
3191286,"2025-09-30 01:57:04.235357",31241,4313-10,-23.548701625,-46.60409175,2025-08-15T15:13:39Z,820012014.0,23:27
3191287,"2025-09-30 01:57:04.235357",31263,4313-10,-23.5471805,-46.629935,2025-08-15T15:13:01Z,80014597.0,09:09
3191288,"2025-09-30 01:57:04.235357",31025,4313-10,-23.5961185,-46.435889,2025-08-15T15:13:22Z,820012014.0,00:10
3191697,"2025-09-30 01:57:04.235357",31027,4313-10,-23.567644,-46.506362,2025-08-15T15:13:10Z,820012014.0,07:08
3191698,"2025-09-30 01:57:04.235357",31286,4313-10,-23.55293525,-46.616193,2025-08-15T15:13:19Z,80014597.0,00:00
3191699,"2025-09-30 01:57:04.235357",31277,4313-10,-23.5947445,-46.427139375,2025-08-15T15:13:40Z,820012014.0,19:00
3191700,"2025-09-30 01:57:04.235357",31255,4313-10,-23.5479245,-46.629473,2025-08-15T15:13:37Z,1010076.0,00:00
3191701,"2025-09-30 01:57:04.235357",31258,4313-10,-23.542011,-46.580487,2025-08-15T15:13:38Z,200012487.0,00:05
3191702,"2025-09-30 01:57:04.235357",31301,4313-10,-23.5957235,-46.43795375,2025-08-15T15:13:39Z,820012486.0,00:53
3191703,"2025-09-30 01:57:04.235357",31266,4313-10,-23.583026,-46.408417,2025-08-15T15:13:25Z,540014587.0,06:10
3191704,"2025-09-30 01:57:04.235357",31024,4313-10,-23.596053,-46.453267,2025-08-15T15:13:29Z,820012014.0,07:34
3191705,"2025-09-30 01:57:04.235357",31244,4313-10,-23.5354255,-46.5487535,2025-08-15T15:13:20Z,540014576.0,00:02
3191973,"2025-09-30 01:57:04.235357",31180,4310-10,-23.552365,-46.610303,2025-08-15T15:13:40Z,540014575.0,21:52
3191974,"2025-09-30 01:57:04.235357",31296,4310-10,-23.5366265,-46.5562715,2025-08-15T15:13:31Z,820012486.0,08:24
3191975,"2025-09-30 01:57:04.235357",31181,4310-10,-23.5354285,-46.454211,2025-08-15T15:13:10Z,820012014.0,22:36
3191976,"2025-09-30 01:57:04.235357",31194,4310-10,-23.5530265,-46.6117345,2025-08-15T15:13:08Z,540014577.0,06:35
3191978,"2025-09-30 01:57:04.235357",31147,4310-10,-23.5318005,-46.523797,2025-08-15T15:13:09Z,820012014.0,06:24
3191979,"2025-09-30 01:57:04.235357",31162,4310-10,-23.547625,-46.630348,2025-08-15T15:13:16Z,820012014.0,09:01
3191980,"2025-09-30 01:57:04.235357",31144,4310-10,-23.5349835,-46.4537445,2025-08-15T15:13:27Z,540014575.0,18:54
3192527,"2025-09-30 01:57:04.235357",11894,917H-10,-23.589511,-46.6342965,2025-08-15T15:13:42Z,440016921.0,06:28
3192528,"2025-09-30 01:57:04.235357",11896,917H-10,-23.56011525,-46.657866,2025-08-15T15:13:31Z,440016921.0,21:35
3192529,"2025-09-30 01:57:04.235357",11822,917H-10,-23.4860235,-46.739406,2025-08-15T15:13:23Z,70016918.0,00:00
3192530,"2025-09-30 01:57:04.235357",11898,917H-10,-23.5740945,-46.642083125,2025-08-15T15:13:28Z,440016921.0,07:00
3192531,"2025-09-30 01:57:04.235357",11906,917H-10,-23.5369125,-46.7237005,2025-08-15T15:13:01Z,440016921.0,00:18
3192532,"2025-09-30 01:57:04.235357",11886,917H-10,-23.517538,-46.753069875,2025-08-15T15:13:33Z,440016921.0,04:59
3192533,"2025-09-30 01:57:04.235357",11893,917H-10,-23.55308525,-46.673082,2025-08-15T15:13:20Z,440016921.0,21:24
